DogName	 Count
CASPER	4
CHESTER	4
CLYDE	4
COHO	4
COLBY	4
CORA	4
COWBOY	4
CUPCAKE	4
DANTE	4
DAPHNE	4
DIEGO	4
DYLAN	4
EMBER	4
EMMETT	4
ENZO	4
ESKA	4
FELIX	4
FINLEY	4
FIONA	4
FRANK	4
FREYA	4
FREYJA	4
GABBY	4
GINNY	4
GLORY	4
GUNNAR	4
GYPSY	4
HAPPY	4
HERCULES	4
HERO	4
HOSS	4
HUDSON	4
IVY	4
JAEGER	4
JAGER	4
JENNY	4
JETHRO	4
JIMMY	4
JOY	4
KANE	4
KARMA	4
KAYLEE	4
KEENA	4
KETA	4
KILO	4
KIRA	4
KIRBY	4
KOBE	4
KRATOS	4
KUMA	4
LACEY	4
LIBERTY	4
MAC	4
MAPLE	4
MATILDA	4
MERLIN	4
MILEY	4
MOE	4
MOLLIE	4
MONKEY	4
MONSTER	4
NIKE	4
NOODLES	4
NYX	4
OLAF	4
OLIVIA	4
O'MALLEY	4
OZZY	4
PIPPEN	4
RAGNAR	4
REBEL	4
RINGO	4
ROCKO	4
ROGER	4
ROSCO	4
SABLE	4
SAMSON	4
SAWYER	4
SEAMUS	4
SKIPPY	4
SNOWBALL	4
SOX	4
SUMMER	4
SUSIE	4
TASHA	4
TATER TOT	4
TAYLOR	4
TESLA	4
TESS	4
TESSA	4
THEO	4
THUNDER	4
TIA	4
TIGGER	4
TIKAANI	4
TINKERBELL	4
TITO	4
TUFFY	4
TUNDRA	4
WHISKEY	4
WILSON	4
WOODY	4
WRANGELL	4
ZEPHYR	4
ZORRO	4
JUNE	3
ADAK	3
ADDIE	3
ALLY	3
ANGIE	3
ANUBIS	3
ARCHER	3
ARES	3
ARIES	3
ARYA	3
ASTRO	3
ATIGUN	3
ATKA	3
ATTICUS	3
AVERY	3
AZUL	3
BALOO	3
BAM BAM	3
BAMBI	3
BEAN	3
BIGGS	3
BINGO	3
BISCUIT	3
BLANCA	3
BODIE	3
BOGEY	3
BOJANGLES	3
BOOGIE	3
BOOTS	3
BOOTSIE	3
BOSCO	3
BOSS	3
BOSTON	3
BREE	3
BROOKLYN	3
BROOKS	3
BUCK	3
BUD	3
CABO	3
CAPONE	3
CASPIAN	3
CEASAR	3
CECIL	3
CHEWBACCA	3
CHILI	3
CHUBBS	3
CISCO	3
CLOVER	3
COLE	3
COMET	3
CRUISER	3
CUJO	3
DAISY DUKE	3
DAISY MAE	3
DARWIN	3
DEUCE	3
DHARMA	3
DINGO	3
DINO	3
DIVA	3
DORA	3
DOT	3
DOUGLAS	3
DRACO	3
DUDLEY	3
DUNCAN	3
DUTCH	3
DUTCHESS	3
EASTON	3
EBONY	3
ERIS	3
FLETCHER	3
FLUFFY	3
FRANKLIN	3
FRED	3
GALENA	3
GAUGE	3
GEMMA	3
GEORGIA	3
GHOST	3
GOLIATH	3
